year,sowing_date,cultivar,planting_period,rep,heading_days,harvest_date,inc,dhs,tgw,ph,yield,heading_date
2013,2013-02-18 00:00:00 UTC,BRS264,1,1,33,78,72.3,90,18.3654,57.7,244,2013-03-23 00:00:00 UTC
2013,2013-02-18 00:00:00 UTC,BRILHANTE,1,1,43,85,64.3,80,24.4562,76.2,607,2013-04-02 00:00:00 UTC
2014,2014-02-24 00:00:00 UTC,BRS264,1,1,35,78,98,55,32.1,62.89722222,817.0666667,2014-03-31 00:00:00 UTC
2014,2014-02-24 00:00:00 UTC,PF080492,1,1,45,90,98,55,25.3,70.092,781,2014-04-10 00:00:00 UTC
2014,2014-02-24 00:00:00 UTC,BRILHANTE,1,1,45,90,89,60,28.9,66.43414634,621,2014-04-10 00:00:00 UTC
2015,2015-02-27 00:00:00 UTC,BRS264,1,1,41,70,96,50,17.89,60,221,2015-04-09 00:00:00 UTC
2015,2015-02-27 00:00:00 UTC,BRS 404,1,1,46,83,95,65,23.55,61.5,196,2015-04-14 00:00:00 UTC
2015,2015-02-27 00:00:00 UTC,BRILHANTE,1,1,48,83,92,65,25.3,65.3,235,2015-04-16 00:00:00 UTC
2016,2016-02-26 00:00:00 UTC,BRILHANTE,1,1,46,80,99,80,14.52,63.2,455,2016-04-12 00:00:00 UTC
2016,2016-02-26 00:00:00 UTC,BRS264,1,1,37,73,99,75,15.32,63.5,158,2016-04-03 00:00:00 UTC
2016,2016-02-26 00:00:00 UTC,BRS 404,1,1,44,85,99,80,13.58,61.3,521,2016-04-10 00:00:00 UTC
2017,2017-02-27 00:00:00 UTC,BRS264,1,1,37,78,68,40,31.52,72.65,1256.38,2017-04-05 00:00:00 UTC
2017,2017-02-27 00:00:00 UTC,BRILHANTE,1,1,43,80,65,40,30.07,73.54,1025.3,2017-04-11 00:00:00 UTC
2017,2017-02-27 00:00:00 UTC,BRS 404,1,1,43,80,52,40,29.66,73.49,1186.38,2017-04-11 00:00:00 UTC
2018,2018-02-26 00:00:00 UTC,BRS264,1,1,35,75,78,55,28.01,70.3,879,2018-04-02 00:00:00 UTC
2018,2018-02-26 00:00:00 UTC,BRILHANTE,1,1,45,77,76,65,27.32,72.3,785,2018-04-12 00:00:00 UTC
2018,2018-02-26 00:00:00 UTC,BRS 404,1,1,41,77,68,75,29.35,73.5,883,2018-04-08 00:00:00 UTC
2019,2019-02-22 00:00:00 UTC,SINTONIA,1,1,45,77,99,100,15.11,59.3,43.36,2019-04-08 00:00:00 UTC
