id,ano,cultivar,trat,rep,local,estado,rend,ph,aacpd,inc_final,semeadura,espigamento,classificação,HD
1,2025,BRS 264,6,1,Lavras,MG,"684,1",,"92,7",,2/17/2025,4/9/2025,1,51
1,2025,BRS 264,6,2,Lavras,MG,"235,1",,"167,4",,2/17/2025,4/8/2025,1,50
1,2025,BRS 264,6,3,Lavras,MG,"383,0",,"492,2",,2/17/2025,4/9/2025,1,51
1,2025,BRS 264,6,4,Lavras,MG,"522,3",,"42,3",,2/17/2025,4/19/2025,1,61
1,2025,BRS 404,7,1,Lavras,MG,"1404,2",,"473,9",,2/17/2025,4/26/2025,3,68
1,2025,BRS 404,7,2,Lavras,MG,"1034,7",,"492,6",,2/17/2025,4/27/2025,3,69
1,2025,BRS 404,7,3,Lavras,MG,"943,6",,"513,8",,2/17/2025,4/23/2025,3,65
1,2025,BRS 404,7,4,Lavras,MG,"738,6",,"289,8",,2/17/2025,4/17/2025,3,59
1,2025,BRS Savana,8,1,Lavras,MG,"1308,1",,"104,7",,2/17/2025,4/9/2025,1,51
1,2025,BRS Savana,8,2,Lavras,MG,"1020,5",,"148,0",,2/17/2025,4/9/2025,1,51
1,2025,BRS Savana,8,3,Lavras,MG,"1542,6",,"33,3",,2/17/2025,4/8/2025,1,50
1,2025,BRS Savana,8,4,Lavras,MG,"1509,9",,"30,4",,2/17/2025,4/8/2025,1,50
1,2025,ORS 1401,13,1,Lavras,MG,"461,1",,"63,3",,2/17/2025,4/28/2025,3,70
1,2025,ORS 1401,13,2,Lavras,MG,"1411,3",,"203,5",,2/17/2025,4/26/2025,3,68
1,2025,ORS 1401,13,3,Lavras,MG,"1218,2",,"324,6",,2/17/2025,4/24/2025,3,66
1,2025,ORS 1401,13,4,Lavras,MG,"854,2",,"157,3",,2/17/2025,4/27/2025,3,69
1,2025,ORS 1403,1,1,Lavras,MG,"1130,9",,"114,0",,2/17/2025,4/24/2025,3,66
1,2025,ORS 1403,1,2,Lavras,MG,"1236,0",,,,2/17/2025,4/25/2025,3,67
1,2025,ORS 1403,1,3,Lavras,MG,"1763,5",,"104,7",,2/17/2025,4/26/2025,3,68
1,2025,ORS 1403,1,4,Lavras,MG,"813,5",,"67,2",,2/17/2025,4/24/2025,3,66
1,2025,ORS Absoluto,2,1,Lavras,MG,"823,9",,"124,0",,2/17/2025,4/14/2025,2,56
1,2025,ORS Absoluto,2,2,Lavras,MG,"754,6",,"305,2",,2/17/2025,4/18/2025,2,60
1,2025,ORS Absoluto,2,3,Lavras,MG,"855,5",,"402,5",,2/17/2025,4/29/2025,2,71
1,2025,ORS Absoluto,2,4,Lavras,MG,"979,0",,"66,3",,2/17/2025,4/21/2025,2,63
1,2025,ORS Feroz,3,1,Lavras,MG,"916,6",,"54,5",,2/17/2025,4/13/2025,2,55
1,2025,ORS Feroz,3,2,Lavras,MG,"770,3",,,,2/17/2025,4/16/2025,2,58
1,2025,ORS Feroz,3,3,Lavras,MG,"605,6",,"112,9",,2/17/2025,4/14/2025,2,56
